,title,image,year,release_year,rating,runtime,plot,genres,score,Action,Adventure,Anime,Children,Comedy,Cult,Documentaries,Dramas,Fantasy,Horror,International,Reality,Sci-Fi,Thrillers,Romantic,media type
0,Deadcon,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABXIV2WhHudkKq6JBS11N_Rp3ZA_djzfXDk2gr4TtI7D7VkhcNu0Dbe9uWm85jl8pyUyYACONJDhP9cxGTUZD4PSOV-0.jpg?r=ef4,2019,2019,TV-MA,78 min,"A group of uber-popular, social media influencers’ trip to a digital media festival grows dark when an evil spirit wants to lure them to their demise.",['Horror'],3.6,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,movie
1,Get Him to the Greek,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABRBpRVlhaVpX62ktBRPARGh7VKtPryhhVUYAQAFrkVS58C22t5Mzv6_91EIh7YDKhqweMpmkTvB0mkzaIZWsJVTJimk.jpg?r=cd1,2010,2010,R,109 min,Ambitious young record company intern Aaron must escort an unruly rock star to Los Angeles for the start of his anniversary concert.,"['Comedy', 'Reality', 'Reality']",5.2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,movie
2,Hop,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABfRaMF-s8kl7UtXL4CAxhUBiCJ_7O42m6-d5j-Ngis7cut93-gtDPPPgYd-v2JuVlr_8RdYtLcuy4LFxs6iwBOCNqOY.jpg?r=87f,2011,2011,PG,95 min,A jobless slacker finds himself beyond busy after he runs over the Easter Bunny and has to take over the rabbit's duties so the holiday can continue.,"['Children', 'Children', 'Comedy']",8.2,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,movie
3,Jezebel,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABW2GuL3QXQSgHIY_Y3JSnITEHjqtlhWuiCm4SyGHY-0H8QAejqz2QXaMUfxhgGkTLklUmPH0pFFZVjxtIJ56y4e3ReI.jpg?r=fc1,2019,2019,TV-MA,86 min,"During the internet's infancy, a vulnerable woman follows her sister into the sex industry as a webcam model but her sudden popularity tests their bond.",['Dramas'],5.7,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,movie
4,Legend,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABQSO-b6svbVbmCHKU2PEQaNlYLjoCdlRrEjjNZJaRyAgn9AvjDsMVc45LpMWCOGlJEe9KWZOzVLpnFVaEFw60f73KYQ.jpg?r=525,2015,2015,R,132 min,Identical twins and notorious gangsters Reggie and Ronnie Kray elude the authorities in 1960s London while transfixing and terrifying the public.,"['Dramas', 'International', 'Thrillers']",7.6,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,movie
5,NiNoKuni,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABYLghLYa7zp1DEbh9rLq6lY1zk5cobnucysJzZb5UPMmAJjFsLFqnFaOY-8KeBXw2n_8bjGNNwMzOg2aCzuJObec06eMntkdxGk6Iv8Kgk3e1t0xlQrVhzMoIBGi.jpg?r=b11,2019,2019,TV-14,107 min,Two average teens go on a magical quest to save the life of their friend and her counterpart from another world. But love complicates their journey.,"['Action', 'Adventure', 'Anime', 'Children', 'Children']",9.1,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,movie
6,Steve Jobs,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABZlnnHkw-5kwCY1EZjzoPsrTJPb6nfMxJN53i0iYPDcoiQnZDU4uD8XIw2UhCLTaHPEZQpH-A6FXFIAP-SRYqEAlGg0.jpg?r=860,2015,2015,R,122 min,"By keying in on three crucial points in his career, this biopic shows the human foibles and visionary fearlessness of the man who made the Mac.",['Dramas'],6.1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,movie
7,Big Fat Liar,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABe51Hmt53zYLN-Iwdw0PfemOhkhA1IL0iYov9HKJ03Xb8LIY1MFE1mEmnus3cx2tw_Io_9gwOdoG64w__dypktp9mBI.jpg?r=0ce,2002,2002,PG,88 min,Junior high students Jason and Kaylee take action when a greedy Hollywood producer turns Jason's essay into a hit film without giving him credit.,"['Children', 'Children', 'Comedy']",6.1,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,movie
8,Bulbul Can Sing,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABQ75AdgkqquY0kBSce0G525PLA47xsmvCsIaEeljYZWLL85XXcHA1xiDIL3UxRtgbIzxM7LHxw_EpJ_APws0w_YRsp8.jpg?r=b53,2018,2018,TV-14,95 min,"Exploring their sexual identities in the face of the patriarchal rules of their Assamese village, a teenager and her two friends are rocked by tragedy.","['Dramas', 'International']",4.9,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,movie
9,Eye For An Eye,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABTOZ7TZlKWBYEto-lgD2bAJsijn3wOLMmwMyPc9y2NWrmlExZScWtFES0b9VqvOkmnH0uelJnmsW61ZK1yrz0bV83mBp_XLHu746sFBZ_mA6q_wxxC5KN9gQTIRp.jpg?r=524,2019,2019,TV-MA,108 min,"A cartel boss is released from prison and unknowingly put in the care of a vengeful nurse, whose life was tragically impacted by the drug lord.","['Dramas', 'International', 'Thrillers']",7.9,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,movie
10,MindGamers,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABd-lWmsPwd-DPKSp4w0MYY5TVfJTvdO7FtOYOKTHAd8ZA9G8eaF0GTD5QaQGQu5O4jh5cEHYCr1VF6CsNre3nMNy2S4.jpg?r=2e7,2017,2017,R,99 min,"Brilliant young students discover a breakthrough that could change humankind, but soon find themselves the subjects of a much bigger experiment.","['International', 'Sci-Fi', 'Fantasy', 'Thrillers']",6.5,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,movie
11,The Brave,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABdX7c-psgBvGWJl7o7_oavV8shSW6hRPBkLW80lKa1X9Kit0GkuZ6lgZMCCh6w50uJ1WSamMjqax7dzcCXjfTEX83CE.jpg?r=da7,2019,2019,TV-MA,103 min,"With entry into the European Union at stake, Albania must rely on a mash-up of elite cops to take down a slippery drug lord dominating its economy.","['Action', 'Adventure']",4.4,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,movie
