,title,image,year,release_year,rating,runtime,plot,genres,score,Action,Adventure,Anime,Children,Comedy,Cult,Documentaries,Dramas,Fantasy,Horror,International,Reality,Romantic,Sci-Fi,Thrillers,media type
0,Booba,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABalgBMcXsar0ZcFUTktmC868_dbPKCWupWZaXNQ6eKbn9mNyg60IltJyBLStMBSEN5xLPKuIRUN-83Mrs3BHNN3wB-Q.jpg?r=226,2019,2019,TV-Y,3 Seasons,"The world is a mystery to little Booba. But he approaches the curiosities around him with wonder, finding adventure in his everyday surroundings.","['Children', 'Comedy']",6.2,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,tv
1,Handsome Siblings,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABQMm7A2Twkz76nuaezP5b_zaXH7bp4p7zXc-MsqlAj7GZvjnGZHUGyDpLjpnfOF1jaCwUXKqeUVwhl14k7q-N9f17IsodybO3fWfJ69bTzLW6-pV0SnNug2gbV5Gyn2w0xyFsc8rD91ME271b837FaQ-mDvBfg.jpg?r=da8,2020,2020,TV-14,1 Season,"Clashing martial arts twins face relentless villains, thorny romance and brotherly rivalry as their troubled pasts catch up to them.","['International', 'Dramas', 'Sci-Fi', 'Fantasy']",8.2,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,tv
2,Soul Eater,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABUs5XtVA0Lx0laLM0o2-oQbddMwMcuvW170-79O5XYQ5U1RgsHZxK66umP_S0WPgSrh-FrL3Rzc-TfzRuAo61JuAi3o.jpg?r=600,2008,2008,TV-14,1 Season,"Maka and the other students at the Death Weapon Meister Academy must kill 99 evil humans and one witch, absorbing their spirits when they die.","['Anime', 'International']",7.5,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,tv
3,Grace and Frankie,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABSVdA3PNwvQiKIj2m9vBTkjq2uZ_gT6N08IBZ38fKQW0HltiLg75KEbSJkrBbjSzmdYPQV9X1Lw6PHFgSwU9mfjS75v3vIXfxPI76sf8YOuNu0wxsP0oC3Nx_P7kXKpUIqSmivicblK4Tuzjo-1jOu2EOJ6AZA.jpg?r=b57,2020,2020,TV-MA,6 Seasons,"They’re not friends, but when their husbands leave them for each other, proper Grace and eccentric Frankie begin to bond in this Emmy-nominated series.","['Comedy', 'Dramas']",7.5,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,tv
4,Killer Inside: The Mind of Aaron Hernandez,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABcwGqJS4z1IWpTo4UKc1tdAQ1ewAHU_hmTd1Xya0oaddtt9C3apDqrg_fTGXpR0Zf7gQxJmZNVEQGU7ToSsuw8om8C9x1v3n9tUjNM4dwxvktGbn7Um6WGRkj-x1.jpg?r=341,2020,2020,TV-MA,1 Season,"Via interviews with friends, players and insiders, this docuseries examines how Aaron Hernandez went from an NFL star to a convicted killer.",['Documentaries'],6.4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,tv
5,PJ Masks,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABVAfs2Qr3-i3ViDZep8H6F8_rqxZBB9VjlCUYmRTRCCboh-Rk3sMAGSL7FYnG51uwI3ot8YabwIPFNu9EvEEiR_3iCii32RwCrxFJvmaNynsIQl2fyzCqI7L3h8U2I6wTg.jpg?r=03e,2018,2018,TV-Y,2 Seasons,"Three 6-year-old kids who live normal lives during the day become superheroes at night, fighting crime as a team known as PJ Masks.",['Children'],6.1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,tv
6,Kipo and the Age of Wonderbeasts,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABZEU2Lnqc0VnQJpEcCZfsAcBt0aRt8c-wVYA__r6Trjmbn2QYZwCVu6u-TKcdvEVyTYQoC8UM2tiH7E4vplpg1Va9lt7W3vf9uBu4CrZF3h5puHfor48lJuU_WQI.jpg?r=760,2020,2020,TV-Y7-FV,1 Season,"Making her way through a world of mutant animals, a sheltered yet scrappy girl learns how to survive – and get home – with help from her ragtag crew.","['Children', 'Comedy']",5.4,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,tv
7,The Ollie & Moon Show,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABUR9k95fwdJqvucQG1t64J1hlGxRE3OqsOSFB_FC2lElZjgziHAc38x7muRIHrpleqHy0R6ukx1L-3MHPaZtMIniQVA.jpg?r=e35,2018,2018,TV-Y,1 Season,"Two quirky cats, Ollie and Moon, and their friend Stanley the snail travel the world, solving everyday problems and learning about different cultures.",['Children'],6.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,tv
8,The Healing Powers of Dude,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABS8N5qmqVqQmVPc7DSpSRnC50au8Z8ctFF020s-HBoDuyQSmkoCUnxGWsnlNRcgxEnkx_Sl7elprfZLw5eYmVm1l6iA76m9apLPue6G7SNPiieGgWzhyOy-Ywy9p.jpg?r=51b,2020,2020,TV-G,1 Season,"When an 11-year-old boy with social anxiety disorder starts middle school, he finds strength in a scruffy emotional support dog named Dude.","['Children', 'Comedy', 'Dramas']",7.2,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,tv
9,AJ and the Queen,https://occ-0-2706-2705.1.nflxso.net/dnm/api/v6/0DW6CdE4gYtYx8iy3aj8gs9WtXE/AAAABdnC9P30fBhhUXYWnUsQ19vdgnUrw-QtbH0s1xbVqz_9zngi5XFuEgNjN9uLcY1BRiFy3pTtBNzHaxwvY1TDtPRfw-ruhew5TVo_d35LPPVbbc6umFu-aKuF7cCv.jpg?r=cc4,2020,2020,TV-14,1 Season,"While traveling across the country in a run-down RV, drag queen Ruby Red discovers an unlikely sidekick in AJ: a tough-talking 10-year-old stowaway.","['Comedy', 'Dramas']",8.3,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,tv
